job_id,title,required_skills
JD001,AI Engineer,"Power BI, Docker, SQL, Excel"
JD002,AI Engineer,"Java, Flask, React, LLM"
JD003,AI Engineer,"SQL, React, Azure, Docker, Spring Boot"
JD004,Data Analyst,"Azure, SQL, React, Machine Learning"
JD005,Software Engineer,"Java, LLM, Spring Boot, Excel"
JD006,Software Engineer,"Excel, Spring Boot, Flask, Azure, Power BI"
JD007,Software Engineer,"React, SQL, Machine Learning, LLM"
JD008,HR Executive,"Flask, Spring Boot, Python"
JD009,Software Engineer,"Power BI, Flask, Machine Learning, LLM, React"
JD010,Data Analyst,"Spring Boot, Excel, LLM, SQL, Azure"
JD011,Recruiter,"Spring Boot, Docker, Power BI, Java"
JD012,Software Engineer,"Spring Boot, SQL, Flask"
JD013,Recruiter,"Power BI, Excel, Azure, Spring Boot"
JD014,Recruiter,"Power BI, LLM, React, Python, Azure"
JD015,Recruiter,"Excel, React, Flask, LLM, Power BI"
JD016,HR Executive,"SQL, Python, Docker, LLM, Azure"
JD017,Data Analyst,"LLM, Docker, Excel, Java"
JD018,HR Executive,"Azure, Machine Learning, Excel, Spring Boot"
JD019,Data Analyst,"Excel, Spring Boot, Power BI, LLM"
JD020,AI Engineer,"Azure, Excel, Docker, Power BI"
